ath-miRf10390-npr	NONATHT002727
ath-miRf10390-npr	NONATHT002743
ath-miRf10390-npr	NONATHT003388
ath-miRf10390-npr	NONATHT003395
ath-miRf10390-npr	NONATHT003404
ath-miRf10390-npr	NONATHT003409
ath-miRf10390-npr	NONATHT003429
ath-miRf10390-npr	NONATHT003431
ath-miRf10390-npr	NONATHT003489
ath-miRf10390-npr	NONATHT003490
ath-miRf10398-npr	NONATHT001157
ath-miRf10398-npr	NONATHT001237
ath-miRf10398-npr	NONATHT002191
ath-miRf10398-npr	NONATHT002666
ath-miRf10398-npr	NONATHT002671
ath-miRf10398-npr	NONATHT003429
ath-miRf10398-npr	NONATHT003431
ath-miRf10406-npr	NONATHT001355
ath-miRf10410-npr	NONATHT000443
ath-miRf10410-npr	NONATHT002728
ath-miRf10410-npr	NONATHT003426
ath-miRf10411-npr	NONATHT001300
ath-miRf10425-npr	NONATHT000433
ath-miRf10425-npr	NONATHT000439
ath-miRf10425-npr	NONATHT003049
ath-miRf10427-npr	NONATHT002225
ath-miRf10443-npr	NONATHT003644
ath-miRf10444-npr	NONATHT001079
ath-miRf10449-npr	NONATHT001899
ath-miRf10449-npr	NONATHT003643
ath-miRf10453-npr	NONATHT001536
ath-miRf10475-npr	NONATHT001157
ath-miRf10475-npr	NONATHT001574
ath-miRf10475-npr	NONATHT002247
ath-miRf10479-npr	NONATHT001179
ath-miRf10479-npr	NONATHT001237
ath-miRf10479-npr	NONATHT002605
ath-miRf10479-npr	NONATHT002631
ath-miRf10479-npr	NONATHT003403
ath-miRf10479-npr	NONATHT003404
ath-miRf10479-npr	NONATHT003418
ath-miRf10483-npr	NONATHT001238
ath-miRf10483-npr	NONATHT002176
ath-miRf10486-npr	NONATHT001068
ath-miRf10487-npr	NONATHT000397
ath-miRf10487-npr	NONATHT000426
ath-miRf10487-npr	NONATHT000439
ath-miRf10487-npr	NONATHT001179
ath-miRf10487-npr	NONATHT001226
ath-miRf10487-npr	NONATHT001228
ath-miRf10487-npr	NONATHT001237
ath-miRf10487-npr	NONATHT002041
ath-miRf10487-npr	NONATHT002146
ath-miRf10487-npr	NONATHT002534
ath-miRf10487-npr	NONATHT002540
ath-miRf10487-npr	NONATHT002605
ath-miRf10487-npr	NONATHT002616
ath-miRf10487-npr	NONATHT002686
ath-miRf10487-npr	NONATHT002720
ath-miRf10487-npr	NONATHT003359
ath-miRf10487-npr	NONATHT003388
ath-miRf10487-npr	NONATHT003392
ath-miRf10487-npr	NONATHT003402
ath-miRf10487-npr	NONATHT003404
ath-miRf10487-npr	NONATHT003409
ath-miRf10487-npr	NONATHT003429
ath-miRf10487-npr	NONATHT003431
ath-miRf10487-npr	NONATHT003462
ath-miRf10487-npr	NONATHT003489
ath-miRf10487-npr	NONATHT003490
ath-miRf10488-npr	NONATHT000439
ath-miRf10489-npr	NONATHT000397
ath-miRf10489-npr	NONATHT000411
ath-miRf10489-npr	NONATHT000419
ath-miRf10489-npr	NONATHT000423
ath-miRf10489-npr	NONATHT000426
ath-miRf10489-npr	NONATHT000453
ath-miRf10489-npr	NONATHT001237
ath-miRf10489-npr	NONATHT002041
ath-miRf10489-npr	NONATHT002116
ath-miRf10489-npr	NONATHT002146
ath-miRf10489-npr	NONATHT002242
ath-miRf10489-npr	NONATHT002605
ath-miRf10489-npr	NONATHT002616
ath-miRf10489-npr	NONATHT002631
ath-miRf10489-npr	NONATHT002641
ath-miRf10489-npr	NONATHT002661
ath-miRf10489-npr	NONATHT002671
ath-miRf10489-npr	NONATHT002689
ath-miRf10489-npr	NONATHT002743
ath-miRf10489-npr	NONATHT002744
ath-miRf10489-npr	NONATHT003316
ath-miRf10489-npr	NONATHT003388
ath-miRf10489-npr	NONATHT003429
ath-miRf10489-npr	NONATHT003431
ath-miRf10489-npr	NONATHT003490
ath-miRf10493-npr	NONATHT000976
ath-miRf10506-npr	NONATHT002007
ath-miRf10517-npr	NONATHT000397
ath-miRf10517-npr	NONATHT002641
ath-miRf10517-npr	NONATHT002647
ath-miRf10528-npr	NONATHT001220
ath-miRf10528-npr	NONATHT002743
ath-miRf10528-npr	NONATHT002744
ath-miRf10528-npr	NONATHT003484
ath-miRf10542-npr	NONATHT000411
ath-miRf10542-npr	NONATHT001170
ath-miRf10542-npr	NONATHT001228
ath-miRf10542-npr	NONATHT002041
ath-miRf10542-npr	NONATHT002146
ath-miRf10542-npr	NONATHT002217
ath-miRf10542-npr	NONATHT002534
ath-miRf10542-npr	NONATHT002631
ath-miRf10542-npr	NONATHT002641
ath-miRf10542-npr	NONATHT003332
ath-miRf10542-npr	NONATHT003388
ath-miRf10542-npr	NONATHT003409
ath-miRf10542-npr	NONATHT003429
ath-miRf10542-npr	NONATHT003431
ath-miRf10542-npr	NONATHT003489
ath-miRf10542-npr	NONATHT003490
ath-miRf10552-npr	NONATHT000436
ath-miRf10558-npr	NONATHT001418
ath-miRf10558-npr	NONATHT003081
ath-miRf10567-npr	NONATHT003343
ath-miRf10568-npr	NONATHT003241
ath-miRf10572-npr	NONATHT002147
ath-miRf10600-npr	NONATHT000411
ath-miRf10600-npr	NONATHT001157
ath-miRf10600-npr	NONATHT002743
ath-miRf10600-npr	NONATHT003395
ath-miRf10600-npr	NONATHT003431
ath-miRf10600-npr	NONATHT003462
ath-miRf10606-npr	NONATHT000413
ath-miRf10606-npr	NONATHT002639
ath-miRf10606-npr	NONATHT002641
ath-miRf10606-npr	NONATHT002647
ath-miRf10606-npr	NONATHT003348
ath-miRf10606-npr	NONATHT003402
ath-miRf10608-npr	NONATHT000439
ath-miRf10608-npr	NONATHT001237
ath-miRf10608-npr	NONATHT001300
ath-miRf10608-npr	NONATHT002041
ath-miRf10608-npr	NONATHT002116
ath-miRf10608-npr	NONATHT002632
ath-miRf10608-npr	NONATHT002639
ath-miRf10608-npr	NONATHT002647
ath-miRf10608-npr	NONATHT002656
ath-miRf10608-npr	NONATHT002671
ath-miRf10608-npr	NONATHT002748
ath-miRf10608-npr	NONATHT003332
ath-miRf10608-npr	NONATHT003429
ath-miRf10608-npr	NONATHT003431
ath-miRf10618-npr	NONATHT001179
ath-miRf10618-npr	NONATHT001210
ath-miRf10618-npr	NONATHT002131
ath-miRf10618-npr	NONATHT002182
ath-miRf10618-npr	NONATHT003359
ath-miRf10618-npr	NONATHT003418
ath-miRf10618-npr	NONATHT003488
ath-miRf10625-npr	NONATHT002689
ath-miRf10632-npr	NONATHT000415
ath-miRf10632-npr	NONATHT002319
ath-miRf10639-npr	NONATHT003040
ath-miRf10643-npr	NONATHT000591
ath-miRf10644-npr	NONATHT003661
ath-miRf10652-npr	NONATHT002684
ath-miRf10682-npr	NONATHT001967
ath-miRf10682-npr	NONATHT002488
ath-miRf10682-npr	NONATHT002556
ath-miRf10684-npr	NONATHT000494
ath-miRf10684-npr	NONATHT001439
ath-miRf10684-npr	NONATHT001930
ath-miRf10684-npr	NONATHT001931
ath-miRf10684-npr	NONATHT002373
ath-miRf10684-npr	NONATHT002643
ath-miRf10684-npr	NONATHT002664
ath-miRf10684-npr	NONATHT002801
ath-miRf10684-npr	NONATHT003052
ath-miRf10684-npr	NONATHT003206
ath-miRf10684-npr	NONATHT003289
ath-miRf10684-npr	NONATHT003529
ath-miRf10684-npr	NONATHT003532
